,tweet_dt,id,username,name,tweet,hashtag,geo
0,2022-02-20,1495497746362503170,chiefs_227_tv,Jamaal Al-Din,"RT @Hoops227_NFL: 4,740 Yds 38 TD 227's YouTube Chili' Patrick Chili' Mahomes #RunItBack #SuperBowl Spicy' https://t.co/5NTwCXcGsl https://…",SuperBowl,False
1,2022-02-20,1495497526916665344,Solking2019,ZiggyBowie,RT @algomo: No mmms recordando a 2pac #PepsiHalftime #SuperBowl https://t.co/EHtsxXXiCW,SuperBowl,False
2,2022-02-20,1495497526207647746,Hoops227_NFL,Jamaal Al-Din,"4,740 Yds 38 TD 227's YouTube Chili' Patrick Chili' Mahomes #RunItBack #SuperBowl Spicy' https://t.co/5NTwCXcGsl… https://t.co/aA4Xo38RPL",SuperBowl,False
3,2022-02-20,1495497234074378243,MPhillips331,Mike Phillips,#RuleTheJungle missed a chance to win their first #SuperBowl and @Joe__DAloisio says it isn't safe to assume they'l… https://t.co/STTX8psRO5,SuperBowl,True
4,2022-02-20,1495497137022726145,RamsOwnTheNFL,Rams own the NFL,@LaMeloLover @RamsNFL @AaronDonald97 @jalenramsey @obj @_Real24_ @Leonard90Flo Cry #RamsHouse #SuperBowl https://t.co/DWIm8fnstE,SuperBowl,False
5,2022-02-20,1495496825775833090,TerranceSulli19,Terrance Sullivan,"RT @RefBrandonTolle: Day 2 here in New Orleans for @IMPACTWRESTLING #IMPACTonAXSTV Tapings. @Willie_Mack is walking around ringside, sees m…",SuperBowl,True
6,2022-02-20,1495496696385654784,Deu1012131,D.e.u.10-12-13,"RT @ParlonsSportFM: 🏈Le football américain en France :
 pas encore assez entré dans la culture du sport en France. 

🎙Retrouvez notre Émiss…",SuperBowl,False
7,2022-02-20,1495496661585571849,manuel_berisha,Manuel Berisha,RT @NFLDeutschland: EPISCH! 🔥 #SuperBowl #PepsiHalftime https://t.co/RTnjbFI8l5,SuperBowl,False
8,2022-02-20,1495496516554924033,ParlonsSportFM,Parlons Sport,"🏈Le football américain en France :
 pas encore assez entré dans la culture du sport en France. 

🎙Retrouvez notre É… https://t.co/wi2RUBLLsg",SuperBowl,True
9,2022-02-20,1495496505230249995,theryanmichael,Ryan Michael,"RT @theryanmichael: The 40 Greatest Quarterbacks in
Pro Football History (1920-2021) 
Via: @theryanmichael

1. #PeytonManning
2. #TomBrady…",SuperBowl,False
10,2022-02-20,1495496260790505472,ChrliesWarchest,Devi Rhamesz,"Many goodies being thrown out by the US side that could rupture 🇷🇺#Russia plans for an invasion of 🇺🇦#Ukraine

Trig… https://t.co/WDVHEPIYZS",SuperBowl,True
11,2022-02-20,1495496124861489163,ThatBitchSno,that bitch Sno,"RT @sport: #Superbowl 🇺🇸

😂 La aparición de @50cent que no esperabas  #PepsiHalftime

https://t.co/mPPZJzqAyz",SuperBowl,True
12,2022-02-20,1495496116862955520,fwdfix,ertz,RT @peppapig: When the camera lands on you at the Super Bowl 😂 #SBLVI #superbowl https://t.co/XQ0Ctnkn1s,SuperBowl,False
13,2022-02-20,1495495934649720838,Lindaoa38027243,Linda oakley,"RT @Mindcite_US: ""We must always take sides. Neutrality helps the oppressor, never the oppressed."" -Holocaust survivor and Nobel laureate E…",SuperBowl,False
14,2022-02-20,1495495850516176905,eaPeeDee,elton alexander,"RT @Isley23: First the #NFL with the #SuperBowl and now #NASCAR with the #DAYTONA500.

Just stop trying to do too much. You don't have to g…",SuperBowl,False
15,2022-02-20,1495495810481627138,MoritzvG,MoritzvG,"RT @TerribleMaps: Super Bowl wins by country #SuperbOwlLVI #SuperBowl
#Superb #Owl https://t.co/6rx9y8nDvV",SuperBowl,True
16,2022-02-20,1495495747852189700,VesiiDaKing_,Vevesi Uta,RT @TheGleef: Post a screenshot of who you got going to the Super Bowl next year! #NFL #SuperBowl https://t.co/uuIaXs2toX,SuperBowl,True
17,2022-02-20,1495495743460851715,r_arre_,Ricky,RT @burner_cp3: Megan Thee Stallion booed at the #SuperBowl  guess they all know Tory Lanez ain’t shoot her https://t.co/OOpHVzk87Q,SuperBowl,True
18,2022-02-20,1495495733545508873,DevonLeBlanc13,Devon LeBlanc,RT @jjauthor: #MandateFreedom. Never forget Cuba and communism. #SuperBowl #FidelCastro https://t.co/lyJ6gTf8z7,SuperBowl,False
