,tweet_dt,id,username,name,tweet
0,2022-02-13,1495505998001356803,RussBrookes1981,Russ Brookes,There are many reasons why NFL is so so successful compared to rugby. I don't think the halftime show is the first… https://t.co/fdQQ7e6RaG
1,2022-02-13,1495505087493464069,AlannaMcKennaaa,Alanna McKenna,"@LucyRushin Not one of my favorite years for commercials ): However, i’ll take the halftime show anytime!!"
2,2022-02-13,1495505066584907784,Brunoepalmeida,Bruno Almeida,Só agora é que vi o Halftime Show do Super Bowl. Perdoem-me deuses 🙏🏻
3,2022-02-13,1495504859965136903,nevil22,neil thomas,"@Sarraelgan Don’t forget most pitches in NFL are artificial, imagine setting a stage up in the middle of winter &amp; h… https://t.co/RaXReaDZp1"
4,2022-02-13,1495504855120633858,pisomojado16,William,This is the best SMU basketball halftime show of all time.
5,2022-02-13,1495504507169554435,GoshDarnIt15,Multilingual and Cult45 Translator,@CountChocBurner @screamingpete69 @NickAdamsinUSA LOLOLOLOLOL Kid Rock is a joke. You fit in perfectly with those h… https://t.co/9M3bqLnm0v
6,2022-02-13,1495504459560112129,vhsting,ؘ,Cheguei do futuro pra informar o óbvio: Coca-Cola paga o preço que a NFL está pedindo e o próximo halftime show é d… https://t.co/Tt3RGAtqAT
7,2022-02-13,1495504342337695746,brokemitch,LaMelo SZN,Glad they have this black coach on the halftime show. Don't put your hands on people first and foremost.
8,2022-02-13,1495504233596170241,Jessica78104502,Jlee,"Hip-Hop Entertained the Masses at the Halftime Show, but at What Cost? https://t.co/MTEBmemvsq… https://t.co/1iIg2Wm5ZA"
9,2022-02-13,1495503272332996615,WeirickSarah,Sarah Weirick,Not me spending ten minutes singing my favorite songs from the Super Bowl Halftime Show to my mom after she asked if I liked it.
10,2022-02-13,1495503258416295938,SoberSamaritan,Casey Duffy,Maryland-Michigan Women’s Hoops live on Big 10 Network. Halftime show ignores Juwan Howard sucker punch. #B10
11,2022-02-13,1495503074487582720,priusport,rrlse,"@BetteMidler At last, a halftime show for adults over 21."
12,2022-02-13,1495503042153783305,JusAire,Keith Nelson Jr,"If a truly independent artist who owns their masters ever performs at the Super Bowl halftime show, they're going t… https://t.co/P9ZJfXp7dH"
13,2022-02-13,1495503028182474755,omarisoclean,Omari 🤓,@IsaiahJoestar so you expect me to say “HOW IS DJ KHALED A PREFORMER AT THE NBA ALLSTAR WEEKEND SATURDAY NIGHT HALF… https://t.co/kDAyeHqLCF
14,2022-02-13,1495502809189728256,chargirlxx2,👑PrincessChar👑,My favourite SuperBowl halftime show…Lady Gaga &amp; Shakira &amp; J-Lo are both a close 2nd https://t.co/V3L7oIJp5S
15,2022-02-13,1495502745046028292,sparkofedge,Cindy Melissa Boisvert,Pepsi out of Super Bowl? 🤔 https://t.co/lgYgPdpXJH
16,2022-02-13,1495502678289690625,EllenOR37,Ellen Ballantine,@Pac12Network Why are we spending the whole halftime show of OSUvCal WBB talking about MBB? Do the halftime shows o… https://t.co/GCaJ6P0CJx
17,2022-02-13,1495501896265904128,davesize2222,David,@DragonflyJonez Imagine being asked to do the halftime show for that. Lol
18,2022-02-13,1495501889529856001,TrevBeats,Trevor Lawrence Jr.,Had a blast with @AndersonPaak at the Super Bowl. We are already Aftermath family so it was even more special. I po… https://t.co/bPMfYQApPY
19,2022-02-13,1495501528706080770,TrapGirlsEnt,〽️,The Game Responds to Rumors He Told Jay-Z to Suck His D!@$ https://t.co/Vcc6Cisom6 https://t.co/tsFp1eJtE1
20,2022-02-13,1495501460867633152,gatorladyskb,Sorelle B.,@BetteMidler The halftime show was great! 😊 https://t.co/MHpPqkHt6z
